eventID;decimalLatitude;decimalLongitude;year;language;license;rightsHolder;accesRights;datasetID;institutionCode;datasetName;ownerInstitutionCode
ABW433;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW434;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW436;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW437;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW438;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW440;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW442;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW443;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW444;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW445;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
ABW447;-37.85;77.53;1999;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE002;7.93333333;39.38333333;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE003;7.93333333;39.38333333;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE019;7.85;38.7;1980;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE022;-0.71666667;36.28333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE023;-0.71666667;36.28333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE024;-0.71666667;36.28333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE025;-0.71666667;36.28333333;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE026;-0.43333333;31.65;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE027;-0.43333333;31.65;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE028;-0.43333333;31.65;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE029;-0.43333333;31.65;NA;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE047;7;39.25;1975;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE061;-0.15;36.41666667;1979;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE071;0.51666667;36.01666667;1979;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE073;-0.15;36.41666667;1979;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE076;-0.71666667;36.28333333;1979;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE078;-0.25;36.36666667;1979;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE079;-0.25;36.36666667;1979;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE090;6.98333333;38.36666667;1964;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE093;-0.43333333;31.65;1960;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE096;-1.21666667;29.71666667;1961;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE097;-1.21666667;29.66666667;1961;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE098;-0.06666667;29.5;1960;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
AFE100;1.05;30.36666667;1961;en;https://creativecommons.org/licenses/by/4.0/;Ugent;https://creativecommons.org/licenses/by/4.0/;doi:10.15468/q457rc;Ugent;Global Lacustrine Diatoms;Ugent
