institutionCode,DayEventDate,MonthEventDate,YearEventData,Year_description,occurrenceID,Acronym,Catalogue number,genus,GBIF tax ID,scientificName_accepted,scientificNameAuthorship,taxonID,kingdom,scientificName,otherCatalogNumber,individualCount,typestatus,sex,locality,Country,decimalLatitude,decimalLongitude,eventDate,Reference,Familia
Ugent,12,08,1985,unknown,Ugent:UGMD:100001,UGMD,100001,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 001,5,Holotype Paratype ,"1 male, 1 female",Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,12,08,1985,unknown,Ugent:UGMD:100002,UGMD,100002,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 002,6,  Paratype ,,Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,12,08,1985,unknown,Ugent:UGMD:100003,UGMD,100003,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 003,5,  Paratype ,,Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,12,08,1985,unknown,Ugent:UGMD:100004,UGMD,100004,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 004,5,  Paratype ,,Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,12,08,1985,unknown,Ugent:UGMD:100005,UGMD,100005,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 005,5,  Paratype ,,Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,12,08,1985,unknown,Ugent:UGMD:100006,UGMD,100006,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 006,5,  Paratype ,,Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,12,08,1985,unknown,Ugent:UGMD:100007,UGMD,100007,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 007,6,  Paratype ,,Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,,,1958,1958,Ugent:UGMD:100008,UGMD,100008,Chiloplacus,136428837,"Chiloplacus deconincki Coomans, 1962","Coomans, 1962",7024793,Animalia,"Chiloplacus deconincki Coomans, 1962 [=> Acrobelophis deconincki (Coomans, 1962)] (Animalia)",ZIRUG 008,1,Holotype   ,1 female,,Belgium,50.503887,4.469936,,,Cephalobidae
Ugent,12,08,1985,unknown,Ugent:UGMD:100009,UGMD,100009,Metacrobeles,136510936,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",7023542,Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",ZIRUG 009,5,  Paratype ,,Cambérène,Senegal,14.497401,-14.452362,,"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034",Cephalobidae
Ugent,28,6,1972,unknown,Ugent:UGMD:100010,UGMD,100010,Diplopeltula,136405052,"Diplopeltula pulchra Vincx & Gourbault, 1992","Vincx & Gourbault, 1992",4349054,Animalia,"Diplopeltula pulchra Vincx & Gourbault, 1992 (Animalia)",ZIRUG 010,7,Holotype   ,female,Southern Bight of the North Sea,Belgium,52.608333333,4.079166667,1972-06-27T23:00:00Z,,Diplopeltidae
