institutionCode;DayEventDate;MonthEventDate;YearEventData;Year_description;occurrenceID;Acronym;Catalogue number;GBIF tax ID;scientificName_accepted;scientificNameAuthorship;taxonID;taxonRank;kingdom;accordingTo_GBIF;scientificName;identificationRemarks;otherCatalogNumber;individualCount;typestatus;sex;locality;Country;geoReferenceRemarks;decimalLatitude;decimalLongitude;eventDate;Reference;Specifications;Other species;disposition;Phylum
Ugent;12;08;1985;unknown;Ugent:UGMD:100001;UGMD;100001;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 001;5;Holotype Paratype ;1 male, 1 female;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";CDH61 Cambéréne - BP 3120 Centre de développement de l'horticulture;;in collection;Nematoda
Ugent;12;08;1985;unknown;Ugent:UGMD:100002;UGMD;100002;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 002;6;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";"4 f., 1 juv.1022; CDH Pc 100";Discolaimoide 4 juv, Discolaimus 1juv;in collection;Nematoda
Ugent;12;08;1985;unknown;Ugent:UGMD:100003;UGMD;100003;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 003;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";"1 f., 1 juv., 4 f.; 1013 CDH G1";Bathyodontus f, Aporcelaimus juv;in collection;Nematoda
Ugent;12;08;1985;unknown;Ugent:UGMD:100004;UGMD;100004;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 004;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";"1 juv; CDH 1014 G1";"Discolaimoide 2 juv; Zeldia 1 juv; Acrobeles 1 juv";in collection;Nematoda
Ugent;12;08;1985;unknown;Ugent:UGMD:100005;UGMD;100005;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 005;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";"5 m; 1023 CDH G2";;in collection;Nematoda
Ugent;12;08;1985;unknown;Ugent:UGMD:100006;UGMD;100006;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 006;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";"2 m; 3 f; 1025 CDH G2 PB 300";;in collection;Nematoda
Ugent;12;08;1985;unknown;Ugent:UGMD:100007;UGMD;100007;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 007;6;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";"1 m; 1016 G1+ DBx300";"Bathyodontus 2 f, 2 juv; Zeldia 1 f";in collection;Nematoda
Ugent;;;1958;1958;Ugent:UGMD:100008;UGMD;100008;136428837;Chiloplacus deconincki Coomans, 1962;Coomans, 1962;7024793;SPECIES;Animalia;Hallan, 2000-;Chiloplacus deconincki Coomans, 1962 [=> Acrobelophis deconincki (Coomans, 1962)] (Animalia);collection and data is currently is under review;ZIRUG 008;1;Holotype   ;1 female;;Belgium;only georeferenced to country level;50,503887;4,469936;;;februari 1958;;in collection;Nematoda
Ugent;12;08;1985;unknown;Ugent:UGMD:100009;UGMD;100009;136510936;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Hallan, 2000-;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 009;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";"4 m, 1 juv; 1022 CDH PC 100";Acrobeles 4 f;in collection;Nematoda
Ugent;28;6;1972;unknown;Ugent:UGMD:100010;UGMD;100010;136405052;Diplopeltula pulchra Vincx & Gourbault, 1992;Vincx & Gourbault, 1992;4349054;SPECIES;Animalia;"Aphia2006/NeMys-marine; WoRMS (Mar 2013)";Diplopeltula pulchra Vincx & Gourbault, 1992 (Animalia);collection and data is currently is under review;ZIRUG 010;7;Holotype   ;female;Southern Bight of the North Sea;Belgium;"station M22 (52 ° 36' 30"" N-04 ° 04' 45"" E; 23 m
depth; fine sand);
28 June and 26 September 1972. ";52.608333333;4.079166667;1972-06-28;;"m 1; M22";;in collection;Nematoda
