institutionCode;ownerInstitutionCode;rightsHolder;type;collectionCode;datasetName;basisOfRecord;license;day;month;year;occurrenceID;Acronym;catalogNumber;scientificName_accepted;scientificNameAuthorship;taxonID;taxonRank;kingdom;scientificName;identificationRemarks;otherCatalogNumbers;individualCount;typestatus;sex;locality;Country;geoReferenceRemarks;decimalLatitude;decimalLongitude;eventDate;namePublishedIn;disposition;language
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100001;UGMD;100001;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 001;5;Holotype Paratype ;1 male, 1 female;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100002;UGMD;100002;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 002;6;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100003;UGMD;100003;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 003;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100004;UGMD;100004;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 004;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100005;UGMD;100005;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 005;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100006;UGMD;100006;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 006;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100007;UGMD;100007;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 007;6;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;;;1958;Ugent:UGMD:100008;UGMD;100008;Chiloplacus deconincki Coomans, 1962;Coomans, 1962;7024793;SPECIES;Animalia;Chiloplacus deconincki Coomans, 1962 [=> Acrobelophis deconincki (Coomans, 1962)] (Animalia);collection and data is currently is under review;ZIRUG 008;1;Holotype   ;1 female;;Belgium;only georeferenced to country level;50,503887;4,469936;;;in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;12;08;1985;Ugent:UGMD:100009;UGMD;100009;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989;de Ley, Coomans & Geraert, 1989;7023542;SPECIES;Animalia;Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia);collection and data is currently is under review;ZIRUG 009;5;  Paratype ;;Cambérène;Senegal;only georeferenced to country level;14,497401;-14,452362;;"Source: Nematologica, Volume 35, Issue 1, pages 25 – 36 Publication Year : 1989
DOI: 10.1163/002825989X00034";in collection;EN
Ugent;Ugent;Ugent;collection;MVD:Nematods;Ghent university - Zoology Museum - Nematod Collection;PreservedSpecimen;https://creativecommons.org/licenses/by/4.0/;28;6;1972;Ugent:UGMD:100010;UGMD;100010;Diplopeltula pulchra Vincx & Gourbault, 1992;Vincx & Gourbault, 1992;4349054;SPECIES;Animalia;Diplopeltula pulchra Vincx & Gourbault, 1992 (Animalia);collection and data is currently is under review;ZIRUG 010;7;Holotype   ;female;Southern Bight of the North Sea;Belgium;"station M22 (52 ° 36' 30"" N-04 ° 04' 45"" E; 23 m
depth; fine sand);
28 June and 26 September 1972. ";52.608333333;4.079166667;1972-06-28;;in collection;EN
