institutionCode,Acronym,Catalogue number,occurrenceID,genus,scientificName,scientificNameAuthorship,kingdom,scientificName_recon,identificationRemarks,Year,class,Subclassis,Order,otherCatalogNumber,individualCount,typestatus,sex,locality,Country,geoReferenceRemarks,decimalLatitude,decimalLongitude,eventDate,Reference,disposition,Phylum
Ugent,UGMD,100001,UgentUGMD100001,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 001,5,Holotype Paratype ,"1 male, 1 female",,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100002,UgentUGMD100002,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 002,6,,,,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100003,UgentUGMD100003,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 003,5,,,,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100004,UgentUGMD100004,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 004,5,,,,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100005,UgentUGMD100005,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 005,5,,,,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100006,UgentUGMD100006,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 006,5,,,,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100007,UgentUGMD100007,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 007,6,,,,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100008,UgentUGMD100008,Chiloplacus,"Chiloplacus deconincki Coomans, 1962","Coomans, 1962",Animalia,"Chiloplacus deconincki Coomans, 1962 [=> Acrobelophis deconincki (Coomans, 1962)] (Animalia)",collection and data is currently is under review,1958,Chromadorea,Chromadoria,Rhabditida,ZIRUG 008,1,Holotype   ,1 female,,Belgium,only georeferenced to country level,50.503887,4.469936,,,in collection,Nematoda
Ugent,UGMD,100009,UgentUGMD100009,Metacrobeles,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989","de Ley, Coomans & Geraert, 1989",Animalia,"Metacrobeles tessellatus de Ley, Coomans & Geraert, 1989 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Rhabditida,ZIRUG 009,5,,,,Senegal,only georeferenced to country level,14.497401,-14.452362,,,in collection,Nematoda
Ugent,UGMD,100010,UgentUGMD100010,Diplopeltula,"Diplopeltula pulchra Vincx & Gourbault, 1992","Vincx & Gourbault, 1992",Animalia,"Diplopeltula pulchra Vincx & Gourbault, 1992 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Araelaimida,ZIRUG 010,7,,,Southern Bight of the North Sea,Belgium,only georeferenced to country level,50.503887,4.469936,1972-06-27T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,100011,UgentUGMD100011,Diplopeltula,"Diplopeltula pulchra Vincx & Gourbault, 1992","Vincx & Gourbault, 1992",Animalia,"Diplopeltula pulchra Vincx & Gourbault, 1992 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Araelaimida,ZIRUG 011,8,,,Southern Bight of the North Sea,Belgium,only georeferenced to country level,50.503887,4.469936,1972-09-25T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,100012,UgentUGMD100012,Diplopeltula,"Diplopeltula pulchra Vincx & Gourbault, 1992","Vincx & Gourbault, 1992",Animalia,"Diplopeltula pulchra Vincx & Gourbault, 1992 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Araelaimida,ZIRUG 012,5,,,,,only georeferenced to country level,,,1972-02-27T23:00:00Z,,in collection,Nematoda
Ugent,UGMD,100013,UgentUGMD100013,Diplopeltula,"Diplopeltula striolata Vincx & Gourbault, 1992","Vincx & Gourbault, 1992",Animalia,"Diplopeltula striolata Vincx & Gourbault, 1992 (Animalia)",collection and data is currently is under review,unknown,Chromadorea,Chromadoria,Araelaimida,ZIRUG 013,6,,,,,only georeferenced to country level,,,1972-01-06T23:00:00Z,,in collection,Nematoda
