id	language	license	rightsHolder	datasetID	datasetName	ownerInstitutionCode	eventID	year	decimalLatitude	decimalLongitude
ABW433	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW433	1999	-37.85	77.53
ABW434	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW434	1999	-37.85	77.53
ABW436	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW436	1999	-37.85	77.53
ABW437	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW437	1999	-37.85	77.53
ABW438	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW438	1999	-37.85	77.53
ABW440	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW440	1999	-37.85	77.53
ABW442	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW442	1999	-37.85	77.53
ABW443	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW443	1999	-37.85	77.53
ABW444	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW444	1999	-37.85	77.53
ABW445	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW445	1999	-37.85	77.53
ABW447	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	ABW447	1999	-37.85	77.53
AFE002	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE002	1975	7.93333333	39.38333333
AFE003	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE003	1975	7.93333333	39.38333333
AFE019	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE019	1980	7.85	38.7
AFE022	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE022	NA	-0.71666667	36.28333333
AFE023	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE023	NA	-0.71666667	36.28333333
AFE024	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE024	NA	-0.71666667	36.28333333
AFE025	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE025	NA	-0.71666667	36.28333333
AFE026	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE026	NA	-0.43333333	31.65
AFE027	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE027	NA	-0.43333333	31.65
AFE028	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE028	NA	-0.43333333	31.65
AFE029	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE029	NA	-0.43333333	31.65
AFE047	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE047	1975	7	39.25
AFE061	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE061	1979	-0.15	36.41666667
AFE071	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE071	1979	0.51666667	36.01666667
AFE073	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE073	1979	-0.15	36.41666667
AFE076	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE076	1979	-0.71666667	36.28333333
AFE078	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE078	1979	-0.25	36.36666667
AFE079	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE079	1979	-0.25	36.36666667
AFE090	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE090	1964	6.98333333	38.36666667
AFE093	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE093	1960	-0.43333333	31.65
AFE096	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE096	1961	-1.21666667	29.71666667
AFE097	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE097	1961	-1.21666667	29.66666667
AFE098	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE098	1960	-0.06666667	29.5
AFE100	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE100	1961	1.05	30.36666667
AFE106	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE106	1964	7.85	38.7
AFE109	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE109	1969	-1.46666667	31.5
AFE114	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE114	1969	-4.36666667	35.08333333
AFE115	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE115	1969	-4.66666667	34.66666667
AFE117	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE117	1969	-3.31666667	37.68333333
AFE118	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE118	1969	0.43333333	33.2
AFE119	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE119	1969	1.66666667	33.45
AFE120	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE120	1971	1.63333333	33.93333333
AFE121	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE121	1969	-0.06666667	29.5
AFE123	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE123	1971	0.7	30.25
AFE124	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE124	1969	0.7	30.23333333
AFE125	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE125	1971	0.7	30.23333333
AFE126	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE126	NA	0.48333333	30.26666667
AFE127	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE127	1971	0.46666667	30.28333333
AFE128	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE128	NA	0.45	30.28333333
AFE129	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE129	NA	-0.15	30.13333333
AFE130	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE130	1969	-0.25	30.11666667
AFE131	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE131	1969	-0.26666667	30.08333333
AFE132	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE132	1969	-0.31666667	30.1
AFE133	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE133	1969	-0.9	30.13333333
AFE134	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE134	1969	-2.25	30.13333333
AFE135	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE135	1969	-2.4	30.31666667
AFE136	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE136	1969	-2.13333333	30.95
AFE137	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE137	1969	-1.46666667	31.5
AFE138	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE138	1969	-1.73333333	30.76666667
AFE139	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE139	1969	-0.36666667	31.9
AFE140	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE140	1969	-2.18333333	30.21666667
AFE141	en	https://creativecommons.org/licenses/by/4.0/	Ugent	doi:10.15468/q457rc	Global Lacustrine Diatoms	Ugent	AFE141	1969	-1.21666667	29.66666667
