gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1305954989	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100019	Animalia	Nematoda	Adenophorea	Desmodorida	Desmodoridae	Pseudochromadora	Pseudochromadora incubans		SPECIES	Pseudochromadora incubans Gourbault & Vincx, 1990	GP	Grand Cui-de-Sac marin	05c249d0-dfa0-11d8-b22e-b8a03c50a862	16.265	-61.551											4350475	4350475	PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100019			CC_BY_4_0	Ugent				2016-09-08T12:12Z		GEODETIC_DATUM_ASSUMED_WGS84
1305955008	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100017	Animalia	Nematoda	Adenophorea	Araeolaimida	Axonolaimidae	Diplopeltula	Diplopeltula indica		SPECIES	Diplopeltula indica Gerlach, 1962	GP	La D6sirade, FWI, Anse Petite Rivi6re, sample 38, littoral, medium sand, 12 December 1982; La Guadeloupe, Grande-Terre, Le Moule, sample 150, littoral calcareous poorly sorted fine sand with pebbles;	05c249d0-dfa0-11d8-b22e-b8a03c50a862									1983-12-11T01:00Z	11	12	1983	4349053	4349053	PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100017			CC_BY_4_0	Ugent				2016-09-08T12:12Z		
1305955048	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100074	Animalia	Nematoda	Secernentea	Tylenchida	Dolichodoridae	Merlinius			GENUS	Merlinius Siddiqi, 1970			05c249d0-dfa0-11d8-b22e-b8a03c50a862													4281837		PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100074			CC_BY_4_0	Ugent				2016-09-08T12:12Z		TAXON_MATCH_HIGHERRANK
1305955074	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100093	Animalia	Nematoda	Secernentea	Rhabditida	Meloidogynidae	Meloidogyne	Meloidogyne ardenensis		SPECIES	Meloidogyne deconincki Elmiligy, 1968			05c249d0-dfa0-11d8-b22e-b8a03c50a862													4556294	4556292	PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100093			CC_BY_4_0	Ugent				2016-09-08T12:12Z		
1305955051	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100052	Animalia	Nematoda	Secernentea	Tylenchida	Criconematidae	Hemicycliophora	Hemicycliophora koreana		SPECIES	Hemicycliophora koreana Choi & Geraert, 1971	KR	Pine tree; Pohang	05c249d0-dfa0-11d8-b22e-b8a03c50a862	37.664	127.97846							1970-08-17T01:00Z	17	8	1970	7023091	7023091	PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100052			CC_BY_4_0	Ugent				2016-09-08T12:12Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1305955059	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100063	Animalia	Nematoda	Secernentea	Tylenchida	Hoplolaimidae	Hoplolaimus			GENUS	Hoplolaimus Daday, 1905	CD		05c249d0-dfa0-11d8-b22e-b8a03c50a862													2284105		PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100063			CC_BY_4_0	Ugent		PARALECTOTYPE		2016-09-08T12:12Z		TAXON_MATCH_HIGHERRANK
1305955131	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100150	Animalia	Nematoda	Adenophorea	Desmoscolecida	Desmoscolecidae	Desmoscolex			GENUS	Desmoscolex Claparède, 1863			05c249d0-dfa0-11d8-b22e-b8a03c50a862													2280240		PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100150			CC_BY_4_0	Ugent		HOLOTYPE		2016-09-08T12:12Z		TAXON_MATCH_HIGHERRANK;COUNTRY_INVALID
1305955138	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100163													05c249d0-dfa0-11d8-b22e-b8a03c50a862															PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100163			CC_BY_4_0	Ugent				2016-09-08T12:12Z		TAXON_MATCH_NONE
1305955211	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100245	Animalia	Nematoda	Adenophorea	Dorylaimida	Longidoridae	Xiphidorus	Xiphidorus saladillensis		SPECIES	Xiphidorus saladillensis Chaves & Coomans, 1984			05c249d0-dfa0-11d8-b22e-b8a03c50a862													7019102	7019102	PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100245			CC_BY_4_0	Ugent				2016-09-08T12:12Z		
1305955164	b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	Ugent:UGMD:100198	Animalia	Nematoda	Adenophorea	Desmoscolecida	Desmoscolecidae	Quadricoma	Quadricoma lizardiensis		SPECIES	Quadricoma lizardiensis Decraemer, 1977	AU		05c249d0-dfa0-11d8-b22e-b8a03c50a862	-25.2744	133.77514							1967-09-12T01:00Z	12	9	1967	4630026	4630026	PRESERVED_SPECIMEN	Ugent	MVD:Nematods	100198			CC_BY_4_0	Ugent		HOLOTYPE		2016-09-08T12:12Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
