gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
233219541																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101194																																																																																																																		Paratylenchus curvitatus Van der Linde, 1938								Animalia	Nematoda	Secernentea	Rhabditida		Paratylenchus		curvitatus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	5777122	1	5967481	250	440		6756644		5777122	Paratylenchus curvitatus	Paratylenchus		TAPIR	2014-05-29T12:41Z	2016-06-28T13:43Z	
163987194																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100010																														1972-06-28T00:00Z				1972	6	28																																																																														Diplopeltula pulchra Vincx & Gourbault, 1992								Animalia	Nematoda	Adenophorea	Araeolaimida	Axonolaimidae	Diplopeltoides		pulchra		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4349054	1	5967481	251	978	6519	2282917		8385670	Diplopeltoides pulcher	Diplopeltula		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987227																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100139																																																																																																																		Butlerius degrissei Grootaert & Jaques, 1979								Animalia	Nematoda	Secernentea	Diplogasterida	Diplogasteridae	Butlerius		degrissei		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4558054	1	5967481	250	974	6484	2283878		4558054	Butlerius degrissei	Butlerius		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987303																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100487																																																				PT				Maize-soil, Taipadas																																																										Coslenchus alacinatus Siddiqi, 1981								Animalia	Nematoda	Secernentea	Tylenchida	Tylenchidae	Coslenchus		alacinatus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	4556020	1	5967481	250	972	6463	2284194		4556020	Coslenchus alacinatus	Coslenchus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	false
163987343																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100672																																																																																																																		Discolaimus elegans Sauer & Annells, 1986								Animalia	Nematoda	Adenophorea	Dorylaimida	Dorylaimidae	Discolaimus		elegans		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7017879	1	5967481	251	446	2592	2282615		7017879	Discolaimus elegans	Discolaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987345																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100674																																																				IN				Keralg. Rice																																																										Chronogaster aspinata Raski & Maggenti, 1985								Animalia	Nematoda	Adenophorea	Araeolaimida	Leptolaimidae	Chronogaster		aspinata		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7026424	1	5967481	251	978	2608	2283256		7026424	Chronogaster aspinata	Chronogaster		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	false
163987362																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100720																																																																																																																		Eudorylaimus paradoxus Loof, 1975								Animalia	Nematoda	Adenophorea	Dorylaimida	Nordiidae	Rhyssocolpus		paradoxus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7018534	1	5967481	251	446	3249165	4631895		7018533	Rhyssocolpus paradoxus	Eudorylaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987629																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100865																																																				US				North Dakota Native Sod																																																										Aglenchus dakotensis Geraert & Raski, 1989								Animalia	Nematoda	Secernentea	Rhabditida	Psilenchidae	Aglenchus		dakotensis		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	7025310	1	5967481	250	440	4281840	4281838		7025310	Aglenchus dakotensis	Aglenchus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	false
163987661																																																											UGENT	nematodes			PRESERVED_SPECIMEN					100947																														1987-02-19T00:00Z				1987	2	19																																																																														Chromadoropsis granulosus Furstenberg & Vincx, 1988								Animalia	Nematoda	Adenophorea	Desmodorida	Desmodoridae	Chromadoropsis		granulosus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z									false	false	6485047	1	5967481	251	447	2604	3249154		6485047	Chromadoropsis granulosus	Chromadoropsis		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
163987792																																																											UGENT	nematodes			PRESERVED_SPECIMEN					101162																														1961-10-25T00:00Z				1961	10	25																																																																														Dorylaimus paraobtusicaudatus Micoletzky, 1922								Animalia	Nematoda	Adenophorea	Dorylaimida	Dorylaimidae	Dorylaimus		paraobtusicaudatus		SPECIES							b24d3bd0-e6d9-11dc-8b77-b8a03c50a862	BE	2016-04-17T12:49Z							TAXON_MATCH_FUZZY		false	false	4554951	1	5967481	251	446	2592	2282620		4554951	Dorylaimus paraobtusicaudatus	Dorylaimus		TAPIR	2014-05-29T12:06Z	2016-06-28T13:42Z	
