"Abbrev","Slide-nbr","Genus","species","Author","Year","Synoniems","Phylum","Classis","Subclassis","Ordo","Subordo","Infraordo","Superfamilia","Familia","Subfamilia","Old number","nbr of specimens of main/typecies","Total nbr of specimens in slide","Holotype","Allotype","Paratypes","Other types","Others","Type locality","Locality","Country","Date","Article","Reference","Specifications","Other species","Determination","Cobb-slide","Glass-slide","Present","Absent","Sent in loan to","Loandoucment","Controle"
"UGMD",102755,"Dorylaimoides","bulbosus",,0,,"Nematoda","Enoplea","Dorylaimia","Dorylaimida","Dorylaimina",,"Tylencholaimoidea","Leptonchidae",,"ZIRUG2755","3/-/-","3",,,,,FALSE,,,,,"Repr-",,,"? Tariania vulbosa?",,FALSE,TRUE,TRUE,FALSE,,"U",
"UGMD",100001,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 001",,"5","m",,"1 m, 1 f",,FALSE,,,,,"Repr-",,"CDH61",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100002,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 002",,"6",,,,,TRUE,,,"Senegal",,"Repr-",,"4 f., 1 juv.1022; CDH Pc 100","Discolaimoide 4 juv, Discolaimus 1juv",,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100003,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 003",,"5",,,,,TRUE,,,"Senegal",,"Repr-",,"1 f., 1 juv., 4 f.; 1013 GDH G1","Bathyodontus f, Aporcelaimus juv",,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100004,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 004",,"5",,,,,TRUE,,,"Senegal",,"Repr-",,"1 juv; CDH 1014 G1","Discolaimoide 2 juv; Zeldia 1 juv; Acrobeles 1 juv",,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100005,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 005",,"5",,,,,FALSE,,,"Senegal",,"Repr-",,"5 m; 1023 CDH G2",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100006,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 006",,"5",,,,,FALSE,,,"Senegal",,"Repr-",,"2 m; 3 f; 1025 CDH G2 PB 300",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100007,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 007",,"6",,,,,TRUE,,,"Senegal",,"Repr-",,"1 m; 1016 G1+ DBx300","Bathyodontus 2 f, 2 juv; Zeldia 1 f",,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100008,"Chiloplacus","deconincki",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 008",,"1","f",,,,FALSE,"Drongen",,"Belgium",,"Repr-",,"februari 1958",,,TRUE,FALSE,TRUE,FALSE,,"U-",
"UGMD",100009,"Metacrobeles","tesselatus",,0,,"Nematoda","Chromadorea","Chromadoria","Rhabditida","Tylenchina","Cephalobomorpha","Cephaloboidea","Cephalobidae",,"ZIRUG 009",,"5",,,,,TRUE,,,"Senegal",,"Repr-",,"4 m, 1 juv; 1022 CDH PC 100","Acrobeles 4 f",,TRUE,FALSE,TRUE,FALSE,,"U-",
