gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
233219541																																																											UGENT	nematodes			PreservedSpecimen					101194																																																																																																																												Paratylenchus curvitatus								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchulidae	Paratylenchus		curvitatus									
163987194																																																											UGENT	nematodes			PreservedSpecimen					100010																															1972-06-28																																																																																													Diplopeltula pulchra Vincx & Gourbault, 0								Animalia	Nemata	Chromadorea	Araelaimida	Diplopeltidae	Diplopeltula		pulchra				Vincx & Gourbault, 0					
163987227																																																											UGENT	nematodes			PreservedSpecimen					100139																																																																																																														holotype: f ,														Butlerius degrissei Degrisse, 0								Animalia	Nemata	Chromadorea	Rhabditida	Diplogasteridae	Butlerius		degrissei				Degrisse, 0					
163987303																																																											UGENT	nematodes			PreservedSpecimen					100487																																																					PORTUGAL					Maize-soil, Taipadas																																																				paratype: 10 f ,														Coslenchus alacinatus								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Coslenchus		alacinatus									
163987343																																																											UGENT	nematodes			PreservedSpecimen					100672																																																																																																														paratype: 1 f ,														Discolaimus elegans								Animalia	Nemata	Enoplea	Dorylaimida	Dorylaimidae	Discolaimus		elegans									
163987345																																																											UGENT	nematodes			PreservedSpecimen					100674																																																					INDIA					Keralg. Rice																																																				paratype: 1 f ,														Chronogaster aspinata								Animalia	Nemata	Chromadorea	Plectida	Leptolaimidae	Chronogaster		aspinata									
163987362																																																											UGENT	nematodes			PreservedSpecimen					100720																																																																																																														paratype: 1 m, 1 f ,														Eudorylaimus paradoxus Coomans, 0								Animalia	Nemata	Enoplea	Dorylaimida	Qudsianematidae	Eudorylaimus		paradoxus				Coomans, 0					
163987629																																																											UGENT	nematodes			PreservedSpecimen					100865																																																					UNITED STATES					North Dakota Native Sod																																																				paratype: 4 m, 4 f ,														Aglenchus dakotensis								Animalia	Nemata	Chromadorea	Rhabditida	Tylenchidae	Aglenchus		dakotensis									
163987661																																																											UGENT	nematodes			PreservedSpecimen					100947																															1987-02-19																																																																																													Chromadoropsis granulosus Furstenberg & Vincx, 0								Animalia	Nemata	Chromadorea	Desmodorida	Desmodoridae	Chromadoropsis		granulosus				Furstenberg & Vincx, 0					
163987792																																																											UGENT	nematodes			PreservedSpecimen					101162																															1961-10-25																																																																																													Dorylaimus paratenuicaudatus								Animalia	Nemata	Enoplea	Dorylaimida	Dorylaimidae	Dorylaimus		paratenuicaudatus									
163987795																																																											UGENT	nematodes			PreservedSpecimen					101163																																																																																																																												Eudorylaimus obtusicaudatus								Animalia	Nemata	Enoplea	Dorylaimida	Qudsianematidae	Eudorylaimus		obtusicaudatus									
163987822																																																											UGENT	nematodes			PreservedSpecimen					101207																																																																																																																												Dorylaimus sp								Animalia	Nemata	Enoplea	Dorylaimida	Dorylaimidae	Dorylaimus		sp									
